Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition
EMP-10040,Sales,2012,Entry Level,54817,Never,12,1.0,1,7,Yes
EMP-10041,Sales,2011,Mid Level,87164,Hybrid,13,5.0,0,8,No
EMP-10042,Sales,2010,Mid Level,89879,Fully Remote,14,4.0,0,22,No
EMP-10043,Engineering,2016,Entry Level,53787,Hybrid,8,1.0,0,11,No
EMP-10044,Engineering,2021,Senior,125717,Hybrid,3,3.0,0,5,No
EMP-10045,Engineering,2014,Mid Level,83636,Never,10,1.0,0,3,No
EMP-10046,Marketing,2016,Entry Level,49330,Hybrid,8,2.0,0,32,Yes
EMP-10047,Finance,2010,Mid Level,86938,Fully Remote,14,5.0,0,7,No
EMP-10048,Sales,2022,Entry Level,46324,Fully Remote,2,4.0,0,35,No
EMP-10049,Engineering,2015,Entry Level,49268,Hybrid,9,2.0,2,1,Yes
EMP-10050,Engineering,2022,Entry Level,45504,Never,2,1.0,1,4,Yes
EMP-10051,Sales,2015,Senior,129175,Hybrid,9,5.0,2,0,No
EMP-10052,Finance,2013,Entry Level,48584,Hybrid,11,1.0,0,5,Yes
EMP-10053,Engineering,2021,Senior,134337,Never,3,4.0,0,6,No
EMP-10054,Engineering,2021,Entry Level,52312,Hybrid,3,4.0,2,17,No
EMP-10055,Engineering,2022,Mid Level,84804,Hybrid,2,5.0,2,8,No
EMP-10056,Engineering,2022,Senior,132449,Fully Remote,2,1.0,1,9,No
EMP-10057,Finance,2011,Senior,127000,Fully Remote,13,,0,0,No
EMP-10058,HR,2014,Senior,131600,Hybrid,10,2.0,0,4,Yes
EMP-10059,Finance,2010,Mid Level,80249,Hybrid,14,2.0,0,1,Yes
EMP-10060,Marketing,2015,Mid Level,83374,Fully Remote,9,3.0,0,2,No
EMP-10061,Marketing,2016,Mid Level,88017,Fully Remote,8,4.0,2,14,No
EMP-10062,Engineering,2015,Senior,127180,Hybrid,9,4.0,0,11,No
EMP-10063,Engineering,2013,Senior,131269,Hybrid,11,2.0,1,6,No
EMP-10064,Sales,2016,Entry Level,54911,Never,8,3.0,0,15,Yes
EMP-10065,Marketing,2022,Mid Level,84777,Fully Remote,2,3.0,1,6,No
EMP-10066,Sales,2019,Entry Level,52240,Hybrid,5,1.0,0,17,Yes
EMP-10067,Engineering,2020,Mid Level,81276,Hybrid,4,5.0,0,30,No
EMP-10068,Engineering,2021,Senior,130126,Hybrid,3,2.0,1,0,No
EMP-10069,Marketing,2011,Mid Level,85750,Never,13,3.0,0,1,No
EMP-10070,Sales,2019,Entry Level,54795,Hybrid,5,1.0,1,13,Yes
EMP-10071,Engineering,2015,Mid Level,82739,Hybrid,9,1.0,0,7,No
EMP-10072,Engineering,2014,Entry Level,50622,Fully Remote,10,5.0,0,2,No
EMP-10073,Marketing,2017,Entry Level,54111,Fully Remote,7,3.0,0,7,Yes
EMP-10074,Engineering,2015,Executive,201316,Fully Remote,9,3.0,1,19,No
EMP-10075,Sales,2010,Entry Level,54765,Hybrid,14,4.0,0,14,No
EMP-10076,Sales,2010,Mid Level,87041,Hybrid,14,2.0,0,11,Yes
EMP-10077,Marketing,2010,Entry Level,45235,Hybrid,14,3.0,0,39,Yes
EMP-10078,Finance,2012,Executive,204064,Hybrid,12,4.0,1,2,No
EMP-10079,Marketing,2012,Senior,126065,Never,12,2.0,2,5,Yes
EMP-10080,Marketing,2012,Mid Level,82712,Hybrid,12,1.0,1,10,No
EMP-10081,Engineering,2017,Mid Level,81202,Never,7,3.0,0,6,Yes
EMP-10082,Sales,2013,Mid Level,81120,Hybrid,11,3.0,1,2,No
EMP-10083,Marketing,2011,Entry Level,51028,Hybrid,13,3.0,1,1,Yes
EMP-10084,Marketing,2022,Entry Level,49225,Hybrid,2,5.0,0,19,Yes
EMP-10085,Engineering,2020,Mid Level,86166,Hybrid,4,3.0,2,6,No
EMP-10086,Finance,2023,Entry Level,48531,Hybrid,1,1.0,0,30,Yes
EMP-10087,Finance,2019,Mid Level,83368,Never,5,2.0,0,1,No
EMP-10088,Engineering,2023,Entry Level,51514,Fully Remote,1,1.0,0,5,No
EMP-10089,Engineering,2013,Entry Level,45536,Hybrid,11,2.0,0,7,No
EMP-10090,Finance,2020,Mid Level,81205,Hybrid,4,3.0,0,36,Yes
EMP-10091,Engineering,2010,Mid Level,85588,Fully Remote,14,3.0,1,0,No
EMP-10092,Finance,2015,Mid Level,81759,Hybrid,9,5.0,0,5,Yes
EMP-10093,HR,2023,Entry Level,52186,Fully Remote,1,5.0,0,27,Yes
EMP-10094,Marketing,2021,Mid Level,88038,Hybrid,3,3.0,0,3,No
EMP-10095,Sales,2010,Senior,125832,Hybrid,14,,0,18,No
EMP-10096,Sales,2017,Entry Level,48054,Hybrid,7,5.0,0,15,No
EMP-10097,Marketing,2023,Executive,200005,Hybrid,1,4.0,2,2,No
EMP-10098,Marketing,2016,Entry Level,49177,Never,8,5.0,1,15,No
EMP-10099,Marketing,2011,Entry Level,46279,Hybrid,13,4.0,1,6,No
EMP-10100,Engineering,2015,Entry Level,53173,Fully Remote,9,1.0,1,10,No
EMP-10101,Sales,2018,Mid Level,81301,Hybrid,6,5.0,0,3,No
EMP-10102,Finance,2016,Mid Level,88232,Never,8,2.0,0,25,Yes
EMP-10103,Engineering,2016,Mid Level,84263,Fully Remote,8,5.0,0,4,No
EMP-10104,Engineering,2010,Mid Level,84225,Hybrid,14,4.0,1,8,No
EMP-10105,HR,2019,Entry Level,54328,Hybrid,5,3.0,0,6,No
EMP-10106,Engineering,2017,Senior,133942,Hybrid,7,5.0,0,4,No
EMP-10107,Engineering,2022,Entry Level,47343,Hybrid,2,1.0,1,1,No
EMP-10108,Engineering,2016,Mid Level,83549,Hybrid,8,2.0,1,17,Yes
EMP-10109,Sales,2010,Entry Level,49107,Fully Remote,14,2.0,1,11,No
EMP-10110,Marketing,2016,Mid Level,83993,Fully Remote,8,1.0,2,15,Yes
EMP-10111,Engineering,2010,Entry Level,49430,Hybrid,14,5.0,0,5,No
EMP-10112,Sales,2016,Senior,128561,Fully Remote,8,4.0,1,5,No
EMP-10113,Engineering,2022,Entry Level,52126,Hybrid,2,5.0,0,8,Yes
EMP-10114,Engineering,2018,Mid Level,88502,Hybrid,6,1.0,1,14,No
EMP-10115,Finance,2011,Entry Level,47032,Never,13,3.0,0,0,Yes
EMP-10116,Engineering,2018,Mid Level,83760,Fully Remote,6,1.0,0,11,Yes
EMP-10117,Engineering,2023,Entry Level,49494,Hybrid,1,1.0,2,0,Yes
EMP-10118,Engineering,2022,Entry Level,53202,Fully Remote,2,4.0,0,31,No
EMP-10119,Finance,2017,Mid Level,87274,Never,7,5.0,1,1,No
EMP-10120,Sales,2015,Entry Level,54788,Hybrid,9,1.0,0,13,Yes
EMP-10121,Engineering,2012,Mid Level,84675,Fully Remote,12,5.0,0,11,No
EMP-10122,Sales,2021,Senior,134752,Hybrid,3,3.0,2,29,No
EMP-10123,Sales,2017,Mid Level,89903,Hybrid,7,2.0,0,49,Yes
EMP-10124,Sales,2023,Senior,131183,Hybrid,1,2.0,0,16,No
EMP-10125,Sales,2017,Senior,125362,Hybrid,7,3.0,1,18,No
EMP-10126,Finance,2021,Entry Level,50150,Hybrid,3,3.0,2,9,No
EMP-10127,Sales,2011,Entry Level,50343,Hybrid,13,5.0,0,0,Yes
EMP-10128,Engineering,2011,Mid Level,85352,Never,13,5.0,1,1,No
EMP-10129,Engineering,2022,Mid Level,81040,Fully Remote,2,4.0,1,1,No
EMP-10130,HR,2017,Mid Level,88476,Never,7,,1,54,No
EMP-10131,Engineering,2022,Mid Level,89645,Hybrid,2,,0,10,No
EMP-10132,Finance,2016,Entry Level,48155,Fully Remote,8,3.0,0,1,No
EMP-10133,Sales,2021,Executive,200626,Never,3,5.0,1,7,No
EMP-10134,Marketing,2010,Entry Level,48610,Hybrid,14,4.0,0,9,No
EMP-10135,Sales,2020,Senior,131059,Hybrid,4,4.0,0,23,Yes
EMP-10136,Finance,2018,Mid Level,81875,Hybrid,6,,0,14,No
EMP-10137,Sales,2015,Mid Level,83788,Never,9,2.0,1,5,Yes
EMP-10138,Engineering,2015,Mid Level,83496,Hybrid,9,5.0,1,45,Yes
EMP-10139,Engineering,2018,Entry Level,51047,Hybrid,6,4.0,1,12,No
EMP-10140,Sales,2023,Mid Level,87014,Fully Remote,1,,0,7,No
EMP-10141,Engineering,2021,Senior,127056,Never,3,3.0,0,33,No
EMP-10142,Sales,2017,Mid Level,88442,Hybrid,7,4.0,1,6,No
EMP-10143,Engineering,2015,Mid Level,84109,Hybrid,9,3.0,0,2,Yes
EMP-10144,Sales,2022,Entry Level,46927,Never,2,3.0,2,6,No
EMP-10145,Engineering,2015,Entry Level,53946,Never,9,5.0,2,55,No
EMP-10146,Sales,2021,Entry Level,53595,Hybrid,3,5.0,1,20,No
EMP-10147,HR,2011,Mid Level,85631,Hybrid,13,1.0,0,19,No
EMP-10148,Engineering,2012,Mid Level,82958,Hybrid,12,5.0,0,14,Yes
EMP-10149,Marketing,2019,Mid Level,84648,Hybrid,5,2.0,0,28,Yes
EMP-10150,Marketing,2018,Mid Level,82113,Hybrid,6,1.0,0,52,No
EMP-10151,Sales,2013,Mid Level,85724,Hybrid,11,3.0,1,8,No
EMP-10152,Marketing,2020,Mid Level,83192,Hybrid,4,1.0,0,2,No
EMP-10153,Engineering,2017,Mid Level,81274,Hybrid,7,4.0,1,12,No
EMP-10154,Sales,2013,Entry Level,50178,Hybrid,11,1.0,0,9,Yes
EMP-10155,Engineering,2014,Entry Level,52473,Never,10,3.0,0,45,No
EMP-10156,Engineering,2016,Entry Level,46969,Hybrid,8,4.0,0,2,Yes
EMP-10157,Engineering,2017,Executive,200238,Never,7,5.0,2,4,No
EMP-10158,Engineering,2017,Mid Level,84909,Hybrid,7,1.0,0,40,No
EMP-10159,Engineering,2014,Senior,125574,Fully Remote,10,4.0,0,13,No
EMP-10160,Engineering,2022,Senior,126667,Hybrid,2,3.0,1,7,No
EMP-10161,Marketing,2012,Mid Level,89816,Hybrid,12,1.0,0,11,Yes
EMP-10162,Engineering,2012,Mid Level,86059,Hybrid,12,1.0,0,11,Yes
EMP-10163,Engineering,2011,Entry Level,46177,Hybrid,13,3.0,0,45,Yes
EMP-10164,Sales,2013,Mid Level,88212,Hybrid,11,2.0,1,11,Yes
EMP-10165,Sales,2018,Mid Level,84882,Fully Remote,6,3.0,0,40,Yes
EMP-10166,Engineering,2020,Entry Level,50539,Hybrid,4,4.0,0,5,No
EMP-10167,Engineering,2023,Executive,198654,Fully Remote,1,4.0,0,11,No
EMP-10168,Marketing,2013,Entry Level,51284,Fully Remote,11,1.0,0,11,Yes
EMP-10169,Marketing,2018,Senior,131295,Hybrid,6,2.0,0,35,Yes
EMP-10170,Sales,2012,Mid Level,83040,Hybrid,12,2.0,1,21,No
EMP-10171,Sales,2010,Entry Level,45987,Fully Remote,14,1.0,0,5,Yes
EMP-10172,Engineering,2018,Entry Level,54769,Hybrid,6,2.0,0,13,Yes
EMP-10173,HR,2021,Mid Level,89382,Fully Remote,3,4.0,1,12,No
EMP-10174,Sales,2018,Mid Level,81804,Hybrid,6,3.0,0,14,No
EMP-10175,Sales,2014,Senior,132426,Hybrid,10,2.0,1,3,Yes
EMP-10176,Sales,2012,Entry Level,48374,Hybrid,12,4.0,0,12,Yes
EMP-10177,Engineering,2021,Entry Level,45236,Hybrid,3,4.0,2,9,Yes
EMP-10178,Finance,2017,Entry Level,51549,Hybrid,7,1.0,1,1,Yes
EMP-10179,Marketing,2015,Entry Level,51257,Fully Remote,9,5.0,0,5,Yes
EMP-10180,Engineering,2010,Entry Level,49406,Hybrid,14,4.0,0,42,Yes
EMP-10181,Marketing,2013,Mid Level,81826,Hybrid,11,1.0,0,25,No
EMP-10182,Engineering,2016,Mid Level,87002,Never,8,1.0,0,0,No
EMP-10183,Engineering,2018,Executive,200901,Hybrid,6,5.0,1,38,Yes
EMP-10184,Marketing,2012,Senior,127964,Hybrid,12,1.0,1,1,Yes
EMP-10185,Sales,2021,Executive,197719,Hybrid,3,4.0,0,1,No
EMP-10186,Engineering,2012,Mid Level,83850,Never,12,2.0,0,0,No
EMP-10187,Engineering,2018,Entry Level,51406,Hybrid,6,1.0,1,4,No
EMP-10188,Sales,2010,Mid Level,84517,Fully Remote,14,4.0,0,14,No
EMP-10189,Sales,2022,Senior,134956,Hybrid,2,3.0,0,26,No
EMP-10190,Finance,2014,Entry Level,52993,Never,10,,0,21,Yes
EMP-10191,Engineering,2022,Entry Level,53656,Fully Remote,2,2.0,0,0,Yes
EMP-10192,Engineering,2016,Mid Level,80593,Fully Remote,8,4.0,1,4,No
EMP-10193,Engineering,2014,Entry Level,45392,Hybrid,10,1.0,2,23,No
EMP-10194,Marketing,2011,Entry Level,53906,Hybrid,13,,2,9,No
EMP-10195,Engineering,2010,Mid Level,86230,Hybrid,14,5.0,0,20,No
EMP-10196,Sales,2022,Entry Level,51420,Hybrid,2,3.0,0,47,Yes
EMP-10197,Engineering,2012,Executive,203964,Fully Remote,12,4.0,0,7,No
EMP-10198,Marketing,2021,Entry Level,54154,Never,3,1.0,2,16,Yes
EMP-10199,Engineering,2019,Mid Level,85978,Hybrid,5,2.0,0,2,No
EMP-10200,Engineering,2021,Mid Level,85784,Hybrid,3,2.0,0,39,Yes
EMP-10201,Engineering,2013,Entry Level,47160,Never,11,5.0,1,10,No
EMP-10202,Sales,2010,Senior,125301,Fully Remote,14,2.0,1,3,No
EMP-10203,Marketing,2015,Mid Level,83537,Never,9,1.0,2,0,Yes
EMP-10204,Engineering,2012,Entry Level,46724,Fully Remote,12,4.0,1,11,No
EMP-10205,Engineering,2023,Entry Level,53553,Never,1,1.0,1,2,No
EMP-10206,Marketing,2013,Mid Level,81428,Fully Remote,11,2.0,1,5,No
EMP-10207,Engineering,2022,Entry Level,48083,Hybrid,2,4.0,0,21,No
EMP-10208,Sales,2020,Executive,204596,Hybrid,4,3.0,2,6,No
EMP-10209,Marketing,2015,Entry Level,46080,Never,9,5.0,0,2,Yes
EMP-10210,Engineering,2012,Senior,125161,Hybrid,12,2.0,0,12,No
EMP-10211,Engineering,2023,Entry Level,45867,Hybrid,1,5.0,1,60,No
EMP-10212,Engineering,2016,Entry Level,54518,Hybrid,8,4.0,0,24,No
EMP-10213,Finance,2013,Mid Level,82171,Hybrid,11,3.0,1,70,No
EMP-10214,Engineering,2022,Mid Level,86397,Never,2,3.0,0,0,No
EMP-10215,Engineering,2012,Senior,131052,Hybrid,12,2.0,1,27,No
EMP-10216,Engineering,2019,Senior,125685,Hybrid,5,2.0,2,22,No
EMP-10217,Sales,2013,Mid Level,89557,Hybrid,11,,0,0,No
EMP-10218,Sales,2015,Senior,130347,Hybrid,9,1.0,1,1,Yes
EMP-10219,Sales,2013,Senior,125671,Never,11,3.0,0,34,No
EMP-10220,Finance,2019,Mid Level,83670,Fully Remote,5,1.0,0,58,Yes
EMP-10221,Engineering,2021,Mid Level,89086,Fully Remote,3,1.0,0,19,Yes
EMP-10222,Marketing,2022,Mid Level,84624,Hybrid,2,4.0,1,1,No
EMP-10223,Sales,2014,Senior,128750,Hybrid,10,1.0,1,9,No
EMP-10224,Sales,2019,Mid Level,82324,Fully Remote,5,3.0,1,3,No
EMP-10225,Engineering,2017,Mid Level,86823,Hybrid,7,4.0,1,4,No
EMP-10226,Marketing,2023,Entry Level,49869,Never,1,4.0,0,10,No
EMP-10227,Engineering,2014,Entry Level,45475,Never,10,4.0,0,5,No
EMP-10228,Sales,2023,Entry Level,47822,Hybrid,1,2.0,0,12,No
EMP-10229,Engineering,2015,Senior,125687,Never,9,1.0,0,6,Yes
EMP-10230,Engineering,2018,Mid Level,83604,Never,6,1.0,0,62,Yes
EMP-10231,Engineering,2020,Executive,198864,Fully Remote,4,3.0,1,1,No
EMP-10232,Sales,2021,Entry Level,52544,Fully Remote,3,4.0,2,1,No
EMP-10233,Marketing,2011,Mid Level,83348,Hybrid,13,4.0,0,2,Yes
EMP-10234,Sales,2011,Mid Level,89087,Hybrid,13,2.0,1,15,No
EMP-10235,Marketing,2012,Mid Level,84578,Fully Remote,12,,1,1,No
EMP-10236,Sales,2021,Entry Level,50925,Fully Remote,3,3.0,1,10,No
EMP-10237,Sales,2013,Mid Level,81787,Hybrid,11,4.0,0,24,No
EMP-10238,Sales,2016,Senior,127659,Hybrid,8,2.0,0,9,Yes
EMP-10239,Sales,2020,Mid Level,81750,Fully Remote,4,1.0,0,0,Yes
EMP-10240,HR,2012,Executive,196531,Fully Remote,12,4.0,2,14,No
EMP-10241,Engineering,2013,Entry Level,46762,Never,11,1.0,0,9,Yes
EMP-10242,HR,2021,Mid Level,83198,Never,3,1.0,0,6,No
EMP-10243,Engineering,2021,Senior,134491,Hybrid,3,2.0,0,16,Yes
EMP-10244,Engineering,2018,Mid Level,87468,Hybrid,6,1.0,0,46,Yes
EMP-10245,Sales,2018,Senior,132986,Hybrid,6,4.0,0,14,No
EMP-10246,Marketing,2021,Mid Level,80193,Hybrid,3,4.0,0,15,No
EMP-10247,Engineering,2015,Executive,203921,Hybrid,9,1.0,0,0,No
EMP-10248,Sales,2022,Mid Level,85808,Hybrid,2,3.0,0,9,No
EMP-10249,Sales,2020,Entry Level,46968,Hybrid,4,1.0,0,24,Yes
EMP-10250,Engineering,2017,Entry Level,45182,Hybrid,7,1.0,1,11,No
EMP-10251,Engineering,2022,Mid Level,86132,Fully Remote,2,5.0,0,8,No
EMP-10252,Engineering,2021,Entry Level,48052,Hybrid,3,1.0,1,0,No
EMP-10253,Sales,2013,Senior,125935,Hybrid,11,4.0,0,1,No
EMP-10254,Sales,2016,Entry Level,54101,Hybrid,8,5.0,1,6,No
EMP-10255,Finance,2013,Mid Level,86031,Fully Remote,11,5.0,2,1,No
EMP-10256,Marketing,2020,Mid Level,84669,Hybrid,4,5.0,0,36,No
EMP-10257,Engineering,2021,Mid Level,88566,Hybrid,3,3.0,0,16,No
EMP-10258,Marketing,2012,Mid Level,80359,Hybrid,12,4.0,2,8,No
EMP-10259,Sales,2021,Entry Level,48267,Never,3,2.0,0,8,Yes
EMP-10260,Marketing,2019,Senior,126829,Hybrid,5,4.0,0,7,No
EMP-10261,Engineering,2015,Senior,132069,Hybrid,9,4.0,0,53,Yes
EMP-10262,Engineering,2020,Executive,197309,Hybrid,4,3.0,0,2,No
EMP-10263,Engineering,2022,Entry Level,45785,Fully Remote,2,4.0,0,32,No
EMP-10264,Finance,2013,Entry Level,48236,Fully Remote,11,,2,22,No
EMP-10265,Engineering,2016,Entry Level,49857,Hybrid,8,2.0,1,18,Yes
EMP-10266,Engineering,2016,Entry Level,51626,Fully Remote,8,1.0,0,2,Yes
EMP-10267,Marketing,2012,Entry Level,54190,Hybrid,12,1.0,1,9,Yes
EMP-10268,Sales,2012,Mid Level,81708,Hybrid,12,3.0,2,19,No
EMP-10269,Sales,2014,Mid Level,80882,Hybrid,10,4.0,0,0,No
EMP-10270,Finance,2016,Mid Level,84494,Fully Remote,8,3.0,0,21,No
EMP-10271,Finance,2014,Entry Level,47819,Hybrid,10,2.0,0,13,No
EMP-10272,Engineering,2022,Executive,202742,Never,2,1.0,0,4,No
EMP-10273,Engineering,2016,Mid Level,84778,Hybrid,8,,0,17,No
EMP-10274,Engineering,2021,Mid Level,87470,Hybrid,3,3.0,0,47,No
EMP-10275,Sales,2023,Executive,201144,Never,1,,1,26,Yes
EMP-10276,Sales,2018,Senior,129897,Fully Remote,6,4.0,1,1,No
EMP-10277,Engineering,2012,Mid Level,82092,Never,12,4.0,0,17,No
EMP-10278,Engineering,2016,Entry Level,46497,Never,8,4.0,1,0,No
EMP-10279,Sales,2017,Entry Level,47368,Hybrid,7,3.0,0,13,No
EMP-10280,Sales,2012,Entry Level,52241,Hybrid,12,1.0,1,30,No
EMP-10281,Engineering,2023,Entry Level,51846,Hybrid,1,4.0,0,5,Yes
EMP-10282,Finance,2023,Mid Level,87758,Hybrid,1,2.0,1,4,Yes
EMP-10283,Sales,2015,Mid Level,89080,Hybrid,9,2.0,0,6,Yes
EMP-10284,Finance,2018,Senior,134010,Never,6,4.0,0,35,Yes
EMP-10285,Finance,2014,Entry Level,52094,Fully Remote,10,2.0,0,39,Yes
EMP-10286,Sales,2010,Mid Level,89821,Hybrid,14,3.0,2,18,No
EMP-10287,Engineering,2010,Mid Level,81519,Fully Remote,14,4.0,1,9,No
EMP-10288,Engineering,2018,Entry Level,49424,Never,6,5.0,1,28,No
EMP-10289,HR,2016,Mid Level,87170,Hybrid,8,2.0,0,40,Yes
EMP-10290,Engineering,2015,Entry Level,52480,Hybrid,9,5.0,0,6,No
EMP-10291,Marketing,2019,Mid Level,88016,Never,5,,0,6,Yes
EMP-10292,Engineering,2010,Mid Level,88931,Hybrid,14,4.0,0,9,Yes
EMP-10293,Engineering,2010,Mid Level,85818,Hybrid,14,2.0,1,12,No
EMP-10294,Engineering,2014,Entry Level,51155,Hybrid,10,2.0,0,15,Yes
EMP-10295,Sales,2012,Mid Level,88835,Fully Remote,12,,1,22,No
EMP-10296,HR,2022,Senior,133584,Hybrid,2,4.0,0,47,Yes
EMP-10297,Engineering,2021,Mid Level,80025,Hybrid,3,1.0,0,3,No
EMP-10298,Engineering,2017,Entry Level,51707,Fully Remote,7,4.0,1,24,No
EMP-10299,HR,2023,Mid Level,82295,Never,1,1.0,2,10,Yes
EMP-10300,Finance,2022,Mid Level,86589,Hybrid,2,5.0,1,39,No
EMP-10301,Engineering,2023,Mid Level,87888,Never,1,4.0,1,16,No
EMP-10302,Marketing,2015,Senior,132866,Hybrid,9,4.0,2,78,No
EMP-10303,Engineering,2012,Entry Level,45882,Hybrid,12,2.0,2,3,No
EMP-10304,Engineering,2011,Mid Level,86976,Hybrid,13,5.0,1,22,No
EMP-10305,Marketing,2022,Executive,203155,Hybrid,2,1.0,1,23,No
EMP-10306,Sales,2021,Mid Level,84444,Hybrid,3,3.0,0,4,No
EMP-10307,Engineering,2017,Entry Level,49422,Hybrid,7,2.0,2,0,Yes
EMP-10308,Engineering,2010,Mid Level,88307,Fully Remote,14,2.0,0,23,Yes
EMP-10309,Engineering,2010,Mid Level,83786,Fully Remote,14,5.0,2,0,No
EMP-10310,Sales,2017,Executive,197871,Never,7,5.0,0,19,No
EMP-10311,Engineering,2021,Mid Level,82179,Hybrid,3,2.0,1,8,No
EMP-10312,Marketing,2017,Mid Level,84570,Hybrid,7,3.0,0,0,Yes
EMP-10313,Finance,2017,Mid Level,83075,Hybrid,7,5.0,1,22,No
EMP-10314,Marketing,2016,Mid Level,83832,Hybrid,8,5.0,1,0,No
EMP-10315,Engineering,2016,Mid Level,88533,Hybrid,8,5.0,0,32,No
EMP-10316,Finance,2018,Entry Level,51680,Hybrid,6,2.0,0,5,Yes
EMP-10317,Sales,2015,Entry Level,53463,Hybrid,9,5.0,0,2,Yes
EMP-10318,Engineering,2023,Mid Level,82832,Never,1,3.0,1,9,No
EMP-10319,Sales,2015,Mid Level,87361,Hybrid,9,1.0,0,53,Yes
EMP-10320,HR,2016,Mid Level,80680,Fully Remote,8,5.0,1,4,No
EMP-10321,Engineering,2012,Entry Level,47230,Fully Remote,12,1.0,1,12,No
EMP-10322,Engineering,2013,Mid Level,84173,Hybrid,11,3.0,1,1,No
EMP-10323,Finance,2020,Mid Level,82240,Hybrid,4,1.0,0,11,Yes
EMP-10324,Engineering,2023,Entry Level,52256,Fully Remote,1,4.0,0,31,Yes
EMP-10325,Engineering,2012,Entry Level,49595,Fully Remote,12,3.0,1,60,No
EMP-10326,Sales,2020,Mid Level,86043,Hybrid,4,4.0,1,6,No
EMP-10327,Sales,2018,Mid Level,87846,Hybrid,6,5.0,0,3,No
EMP-10328,Engineering,2023,Mid Level,86481,Hybrid,1,5.0,0,4,No
EMP-10329,Finance,2019,Entry Level,46988,Hybrid,5,2.0,0,7,Yes
EMP-10330,Engineering,2016,Entry Level,50633,Hybrid,8,2.0,0,20,Yes
EMP-10331,Engineering,2016,Executive,198554,Hybrid,8,4.0,0,1,No
EMP-10332,Sales,2020,Entry Level,49195,Fully Remote,4,1.0,1,13,Yes
EMP-10333,Sales,2018,Entry Level,46271,Never,6,3.0,1,32,No
