Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition,Attrition_Probability,Flight_Risk_Tier,Estimated_Cost_of_Turnover
EMP-10032,Engineering,2023,Senior,126693,Never,1,4.0,0,52,Yes,0.48064533255596936,Medium Risk,25338.600000000002
EMP-10033,Engineering,2019,Mid Level,87560,Hybrid,5,3.0,2,27,No,0.0965027306771956,Low Risk,17512.0
EMP-10034,Sales,2023,Senior,128343,Hybrid,1,1.0,1,4,No,0.3301163030848899,Low Risk,25668.600000000002
EMP-10035,Engineering,2012,Mid Level,89435,Hybrid,12,3.0,1,0,Yes,0.08656147223971639,Low Risk,17887.0
EMP-10036,Sales,2021,Senior,134827,Hybrid,3,3.0,1,24,No,0.07406196992563398,Low Risk,26965.4
EMP-10037,Engineering,2014,Entry Level,47489,Hybrid,10,4.0,0,14,No,0.32184244659035544,Low Risk,9497.800000000001
EMP-10038,Engineering,2016,Mid Level,81687,Hybrid,8,4.0,0,42,No,0.44000292265267554,Medium Risk,16337.400000000001
EMP-10039,Engineering,2020,Entry Level,46066,Fully Remote,4,3.0,1,15,No,0.18735535516744992,Low Risk,9213.2
EMP-10040,Sales,2012,Entry Level,54817,Never,12,1.0,1,7,Yes,0.5484913826418449,Medium Risk,10963.400000000001
EMP-10041,Sales,2011,Mid Level,87164,Hybrid,13,5.0,0,8,No,0.23008121739725243,Low Risk,17432.8
EMP-10042,Sales,2010,Mid Level,89879,Fully Remote,14,4.0,0,22,No,0.22627173899110264,Low Risk,17975.8
EMP-10043,Engineering,2016,Entry Level,53787,Hybrid,8,1.0,0,11,No,0.6306800179303678,Medium Risk,10757.400000000001
EMP-10044,Engineering,2021,Senior,125717,Hybrid,3,3.0,0,5,No,0.13956830960323446,Low Risk,25143.4
EMP-10045,Engineering,2014,Mid Level,83636,Never,10,1.0,0,3,No,0.5846033580409172,Medium Risk,16727.2
EMP-10046,Marketing,2016,Entry Level,49330,Hybrid,8,2.0,0,32,Yes,0.8567587608693937,High Risk,9866.0
EMP-10047,Finance,2010,Mid Level,86938,Fully Remote,14,5.0,0,7,No,0.23182211693377575,Low Risk,17387.600000000002
EMP-10048,Sales,2022,Entry Level,46324,Fully Remote,2,4.0,0,35,No,0.352620170583732,Medium Risk,9264.800000000001
EMP-10049,Engineering,2015,Entry Level,49268,Hybrid,9,2.0,2,1,Yes,0.53093184841122,Medium Risk,9853.6
EMP-10050,Engineering,2022,Entry Level,45504,Never,2,1.0,1,4,Yes,0.4697122075761369,Medium Risk,9100.800000000001
EMP-10051,Sales,2015,Senior,129175,Hybrid,9,5.0,2,0,No,0.10900191497688523,Low Risk,25835.0
EMP-10052,Finance,2013,Entry Level,48584,Hybrid,11,1.0,0,5,Yes,0.6090312153543092,Medium Risk,9716.800000000001
EMP-10053,Engineering,2021,Senior,134337,Never,3,4.0,0,6,No,0.20355223868234515,Low Risk,26867.4
EMP-10054,Engineering,2021,Entry Level,52312,Hybrid,3,4.0,2,17,No,0.16807075825096124,Low Risk,10462.400000000001
EMP-10055,Engineering,2022,Mid Level,84804,Hybrid,2,5.0,2,8,No,0.06349291341660368,Low Risk,16960.8
EMP-10056,Engineering,2022,Senior,132449,Fully Remote,2,1.0,1,9,No,0.3045783518525919,Low Risk,26489.800000000003
EMP-10057,Finance,2011,Senior,127000,Fully Remote,13,3.0,0,0,No,0.23729583152202394,Low Risk,25400.0
EMP-10058,HR,2014,Senior,131600,Hybrid,10,2.0,0,4,Yes,0.5288044544488053,Medium Risk,26320.0
EMP-10059,Finance,2010,Mid Level,80249,Hybrid,14,2.0,0,1,Yes,0.5657906851928107,Medium Risk,16049.800000000001
EMP-10060,Marketing,2015,Mid Level,83374,Fully Remote,9,3.0,0,2,No,0.2461543011593067,Low Risk,16674.8
EMP-10061,Marketing,2016,Mid Level,88017,Fully Remote,8,4.0,2,14,No,0.09063446991081678,Low Risk,17603.4
EMP-10062,Engineering,2015,Senior,127180,Hybrid,9,4.0,0,11,No,0.23960338207646356,Low Risk,25436.0
EMP-10063,Engineering,2013,Senior,131269,Hybrid,11,2.0,1,6,No,0.37892404926907114,Medium Risk,26253.800000000003
EMP-10064,Sales,2016,Entry Level,54911,Never,8,3.0,0,15,Yes,0.4188213416612451,Medium Risk,10982.2
EMP-10065,Marketing,2022,Mid Level,84777,Fully Remote,2,3.0,1,6,No,0.07735618995995659,Low Risk,16955.4
EMP-10066,Sales,2019,Entry Level,52240,Hybrid,5,1.0,0,17,Yes,0.6492186656907013,Medium Risk,10448.0
EMP-10067,Engineering,2020,Mid Level,81276,Hybrid,4,5.0,0,30,No,0.24853327088438995,Low Risk,16255.2
EMP-10068,Engineering,2021,Senior,130126,Hybrid,3,2.0,1,0,No,0.38406700653695913,Medium Risk,26025.2
EMP-10069,Marketing,2011,Mid Level,85750,Never,13,3.0,0,1,No,0.29729325149287433,Low Risk,17150.0
EMP-10070,Sales,2019,Entry Level,54795,Hybrid,5,1.0,1,13,Yes,0.4712145516065902,Medium Risk,10959.0
EMP-10071,Engineering,2015,Mid Level,82739,Hybrid,9,1.0,0,7,No,0.5195823568168249,Medium Risk,16547.8
EMP-10072,Engineering,2014,Entry Level,50622,Fully Remote,10,5.0,0,2,No,0.3332370706389049,Low Risk,10124.400000000001
EMP-10073,Marketing,2017,Entry Level,54111,Fully Remote,7,3.0,0,7,Yes,0.35517697988684316,Medium Risk,10822.2
EMP-10074,Engineering,2015,Executive,201316,Fully Remote,9,3.0,1,19,No,0.11029480546273822,Low Risk,40263.200000000004
EMP-10075,Sales,2010,Entry Level,54765,Hybrid,14,4.0,0,14,No,0.356898457053781,Medium Risk,10953.0
EMP-10076,Sales,2010,Mid Level,87041,Hybrid,14,2.0,0,11,Yes,0.5618325182702576,Medium Risk,17408.2
EMP-10077,Marketing,2010,Entry Level,45235,Hybrid,14,3.0,0,39,Yes,0.5987553113398477,Medium Risk,9047.0
EMP-10078,Finance,2012,Executive,204064,Hybrid,12,4.0,1,2,No,0.10236531750459096,Low Risk,40812.8
EMP-10079,Marketing,2012,Senior,126065,Never,12,2.0,2,5,Yes,0.4410235300283254,Medium Risk,25213.0
EMP-10080,Marketing,2012,Mid Level,82712,Hybrid,12,1.0,1,10,No,0.28938972404570656,Low Risk,16542.4
EMP-10081,Engineering,2017,Mid Level,81202,Never,7,3.0,0,6,Yes,0.33424963560684967,Low Risk,16240.400000000001
EMP-10082,Sales,2013,Mid Level,81120,Hybrid,11,3.0,1,2,No,0.08369762675175135,Low Risk,16224.0
EMP-10083,Marketing,2011,Entry Level,51028,Hybrid,13,3.0,1,1,Yes,0.18565398974949485,Low Risk,10205.6
EMP-10084,Marketing,2022,Entry Level,49225,Hybrid,2,5.0,0,19,Yes,0.28533390767169065,Low Risk,9845.0
EMP-10085,Engineering,2020,Mid Level,86166,Hybrid,4,3.0,2,6,No,0.08729938821989838,Low Risk,17233.2
EMP-10086,Finance,2023,Entry Level,48531,Hybrid,1,1.0,0,30,Yes,0.6266094717459315,Medium Risk,9706.2
EMP-10087,Finance,2019,Mid Level,83368,Never,5,2.0,0,1,No,0.53851799692821,Medium Risk,16673.600000000002
EMP-10088,Engineering,2023,Entry Level,51514,Fully Remote,1,1.0,0,5,No,0.438307901267007,Medium Risk,10302.800000000001
EMP-10089,Engineering,2013,Entry Level,45536,Hybrid,11,2.0,0,7,No,0.5770189060728045,Medium Risk,9107.2
EMP-10090,Finance,2020,Mid Level,81205,Hybrid,4,3.0,0,36,Yes,0.4872234275388033,Medium Risk,16241.0
EMP-10091,Engineering,2010,Mid Level,85588,Fully Remote,14,3.0,1,0,No,0.08914797711541024,Low Risk,17117.600000000002
EMP-10092,Finance,2015,Mid Level,81759,Hybrid,9,5.0,0,5,Yes,0.24143430318579986,Low Risk,16351.800000000001
EMP-10093,HR,2023,Entry Level,52186,Fully Remote,1,5.0,0,27,Yes,0.23026584636613248,Low Risk,10437.2
EMP-10094,Marketing,2021,Mid Level,88038,Hybrid,3,3.0,0,3,No,0.12995698632768593,Low Risk,17607.600000000002
EMP-10095,Sales,2010,Senior,125832,Hybrid,14,3.0,0,18,No,0.23465223556679873,Low Risk,25166.4
EMP-10096,Sales,2017,Entry Level,48054,Hybrid,7,5.0,0,15,No,0.3665096414513506,Medium Risk,9610.800000000001
EMP-10097,Marketing,2023,Executive,200005,Hybrid,1,4.0,2,2,No,0.06564977709616757,Low Risk,40001.0
EMP-10098,Marketing,2016,Entry Level,49177,Never,8,5.0,1,15,No,0.23035807205790448,Low Risk,9835.400000000001
EMP-10099,Marketing,2011,Entry Level,46279,Hybrid,13,4.0,1,6,No,0.16849435437751048,Low Risk,9255.800000000001
EMP-10100,Engineering,2015,Entry Level,53173,Fully Remote,9,1.0,1,10,No,0.5087348070948133,Medium Risk,10634.6
EMP-10101,Sales,2018,Mid Level,81301,Hybrid,6,5.0,0,3,No,0.24028940867135332,Low Risk,16260.2
EMP-10102,Finance,2016,Mid Level,88232,Never,8,2.0,0,25,Yes,0.630391861631309,Medium Risk,17646.4
EMP-10103,Engineering,2016,Mid Level,84263,Fully Remote,8,5.0,0,4,No,0.24956388160382673,Low Risk,16852.600000000002
EMP-10104,Engineering,2010,Mid Level,84225,Hybrid,14,4.0,1,8,No,0.09227865138911659,Low Risk,16845.0
EMP-10105,HR,2019,Entry Level,54328,Hybrid,5,3.0,0,6,No,0.35858400777824045,Medium Risk,10865.6
EMP-10106,Engineering,2017,Senior,133942,Hybrid,7,5.0,0,4,No,0.2353274851025314,Low Risk,26788.4
EMP-10107,Engineering,2022,Entry Level,47343,Hybrid,2,1.0,1,1,No,0.46177678701457464,Medium Risk,9468.6
EMP-10108,Engineering,2016,Mid Level,83549,Hybrid,8,2.0,1,17,Yes,0.38561084813906615,Medium Risk,16709.8
EMP-10109,Sales,2010,Entry Level,49107,Fully Remote,14,2.0,1,11,No,0.4696031835922499,Medium Risk,9821.4
EMP-10110,Marketing,2016,Mid Level,83993,Fully Remote,8,1.0,2,15,Yes,0.3229155490056547,Low Risk,16798.600000000002
EMP-10111,Engineering,2010,Entry Level,49430,Hybrid,14,5.0,0,5,No,0.34151482600675537,Low Risk,9886.0
EMP-10112,Sales,2016,Senior,128561,Fully Remote,8,4.0,1,5,No,0.10210302261439137,Low Risk,25712.2
EMP-10113,Engineering,2022,Entry Level,52126,Hybrid,2,5.0,0,8,Yes,0.248273955954139,Low Risk,10425.2
EMP-10114,Engineering,2018,Mid Level,88502,Hybrid,6,1.0,1,14,No,0.3452043701381296,Low Risk,17700.4
EMP-10115,Finance,2011,Entry Level,47032,Never,13,3.0,0,0,Yes,0.4309167266421431,Medium Risk,9406.4
EMP-10116,Engineering,2018,Mid Level,83760,Fully Remote,6,1.0,0,11,Yes,0.5126873813381101,Medium Risk,16752.0
EMP-10117,Engineering,2023,Entry Level,49494,Hybrid,1,1.0,2,0,Yes,0.519719062135795,Medium Risk,9898.800000000001
EMP-10118,Engineering,2022,Entry Level,53202,Fully Remote,2,4.0,0,31,No,0.3720583006445532,Medium Risk,10640.400000000001
EMP-10119,Finance,2017,Mid Level,87274,Never,7,5.0,1,1,No,0.16331635023127278,Low Risk,17454.8
EMP-10120,Sales,2015,Entry Level,54788,Hybrid,9,1.0,0,13,Yes,0.6693658787308412,High Risk,10957.6
EMP-10121,Engineering,2012,Mid Level,84675,Fully Remote,12,5.0,0,11,No,0.25361388574873817,Low Risk,16935.0
EMP-10122,Sales,2021,Senior,134752,Hybrid,3,3.0,2,29,No,0.07285558374192537,Low Risk,26950.4
EMP-10123,Sales,2017,Mid Level,89903,Hybrid,7,2.0,0,49,Yes,0.7356709593972738,High Risk,17980.600000000002
EMP-10124,Sales,2023,Senior,131183,Hybrid,1,2.0,0,16,No,0.3481914251299291,Low Risk,26236.600000000002
EMP-10125,Sales,2017,Senior,125362,Hybrid,7,3.0,1,18,No,0.09931713927449123,Low Risk,25072.4
EMP-10126,Finance,2021,Entry Level,50150,Hybrid,3,3.0,2,9,No,0.14964362400360784,Low Risk,10030.0
EMP-10127,Sales,2011,Entry Level,50343,Hybrid,13,5.0,0,0,Yes,0.38256418497801953,Medium Risk,10068.6
EMP-10128,Engineering,2011,Mid Level,85352,Never,13,5.0,1,1,No,0.162807350594101,Low Risk,17070.4
EMP-10129,Engineering,2022,Mid Level,81040,Fully Remote,2,4.0,1,1,No,0.07174397390511136,Low Risk,16208.0
EMP-10130,HR,2017,Mid Level,88476,Never,7,3.0,1,54,No,0.4565196775962415,Medium Risk,17695.2
EMP-10131,Engineering,2022,Mid Level,89645,Hybrid,2,3.0,0,10,No,0.10791926771083016,Low Risk,17929.0
EMP-10132,Finance,2016,Entry Level,48155,Fully Remote,8,3.0,0,1,No,0.3526841330943714,Medium Risk,9631.0
EMP-10133,Sales,2021,Executive,200626,Never,3,5.0,1,7,No,0.1736427746292446,Low Risk,40125.200000000004
EMP-10134,Marketing,2010,Entry Level,48610,Hybrid,14,4.0,0,9,No,0.36861419279735363,Medium Risk,9722.0
EMP-10135,Sales,2020,Senior,131059,Hybrid,4,4.0,0,23,Yes,0.22970124923041826,Low Risk,26211.800000000003
EMP-10136,Finance,2018,Mid Level,81875,Hybrid,6,3.0,0,14,No,0.22724310576343265,Low Risk,16375.0
EMP-10137,Sales,2015,Mid Level,83788,Never,9,2.0,1,5,Yes,0.4106105511364489,Medium Risk,16757.600000000002
EMP-10138,Engineering,2015,Mid Level,83496,Hybrid,9,5.0,1,45,Yes,0.31901136645996664,Low Risk,16699.2
EMP-10139,Engineering,2018,Entry Level,51047,Hybrid,6,4.0,1,12,No,0.21091852930265606,Low Risk,10209.400000000001
EMP-10140,Sales,2023,Mid Level,87014,Fully Remote,1,3.0,0,7,No,0.12148431121841988,Low Risk,17402.8
EMP-10141,Engineering,2021,Senior,127056,Never,3,3.0,0,33,No,0.38171838148175136,Medium Risk,25411.2
EMP-10142,Sales,2017,Mid Level,88442,Hybrid,7,4.0,1,6,No,0.09511455046121235,Low Risk,17688.4
EMP-10143,Engineering,2015,Mid Level,84109,Hybrid,9,3.0,0,2,Yes,0.24359673479280183,Low Risk,16821.8
EMP-10144,Sales,2022,Entry Level,46927,Never,2,3.0,2,6,No,0.299398535932642,Low Risk,9385.4
EMP-10145,Engineering,2015,Entry Level,53946,Never,9,5.0,2,55,No,0.4593189248249828,Medium Risk,10789.2
EMP-10146,Sales,2021,Entry Level,53595,Hybrid,3,5.0,1,20,No,0.17461446417717394,Low Risk,10719.0
EMP-10147,HR,2011,Mid Level,85631,Hybrid,13,1.0,0,19,No,0.5324399526069609,Medium Risk,17126.2
EMP-10148,Engineering,2012,Mid Level,82958,Hybrid,12,5.0,0,14,Yes,0.2398271892424182,Low Risk,16591.600000000002
EMP-10149,Marketing,2019,Mid Level,84648,Hybrid,5,2.0,0,28,Yes,0.49776560735306136,Medium Risk,16929.600000000002
EMP-10150,Marketing,2018,Mid Level,82113,Hybrid,6,1.0,0,52,No,0.6537942190067089,High Risk,16422.600000000002
EMP-10151,Sales,2013,Mid Level,85724,Hybrid,11,3.0,1,8,No,0.07944758443977457,Low Risk,17144.8
EMP-10152,Marketing,2020,Mid Level,83192,Hybrid,4,1.0,0,2,No,0.4819614110730253,Medium Risk,16638.4
EMP-10153,Engineering,2017,Mid Level,81274,Hybrid,7,4.0,1,12,No,0.09195910714192014,Low Risk,16254.800000000001
EMP-10154,Sales,2013,Entry Level,50178,Hybrid,11,1.0,0,9,Yes,0.6439810727645511,Medium Risk,10035.6
EMP-10155,Engineering,2014,Entry Level,52473,Never,10,3.0,0,45,No,0.5888964287016267,Medium Risk,10494.6
EMP-10156,Engineering,2016,Entry Level,46969,Hybrid,8,4.0,0,2,Yes,0.33634460501734464,Low Risk,9393.800000000001
EMP-10157,Engineering,2017,Executive,200238,Never,7,5.0,2,4,No,0.18753563534753287,Low Risk,40047.600000000006
EMP-10158,Engineering,2017,Mid Level,84909,Hybrid,7,1.0,0,40,No,0.6860978625759071,High Risk,16981.8
EMP-10159,Engineering,2014,Senior,125574,Fully Remote,10,4.0,0,13,No,0.2335511988230155,Low Risk,25114.800000000003
EMP-10160,Engineering,2022,Senior,126667,Hybrid,2,3.0,1,7,No,0.07188919781872488,Low Risk,25333.4
EMP-10161,Marketing,2012,Mid Level,89816,Hybrid,12,1.0,0,11,Yes,0.5312657972627388,Medium Risk,17963.2
EMP-10162,Engineering,2012,Mid Level,86059,Hybrid,12,1.0,0,11,Yes,0.5205840735962821,Medium Risk,17211.8
EMP-10163,Engineering,2011,Entry Level,46177,Hybrid,13,3.0,0,45,Yes,0.520582270885696,Medium Risk,9235.4
EMP-10164,Sales,2013,Mid Level,88212,Hybrid,11,2.0,1,11,Yes,0.3331045254148369,Low Risk,17642.4
EMP-10165,Sales,2018,Mid Level,84882,Fully Remote,6,3.0,0,40,Yes,0.4431948065684084,Medium Risk,16976.4
EMP-10166,Engineering,2020,Entry Level,50539,Hybrid,4,4.0,0,5,No,0.3272239381194598,Low Risk,10107.800000000001
EMP-10167,Engineering,2023,Executive,198654,Fully Remote,1,4.0,0,11,No,0.11363418046259653,Low Risk,39730.8
EMP-10168,Marketing,2013,Entry Level,51284,Fully Remote,11,1.0,0,11,Yes,0.6458179494732227,Medium Risk,10256.800000000001
EMP-10169,Marketing,2018,Senior,131295,Hybrid,6,2.0,0,35,Yes,0.7429359861504292,High Risk,26259.0
EMP-10170,Sales,2012,Mid Level,83040,Hybrid,12,2.0,1,21,No,0.3104675407399818,Low Risk,16608.0
EMP-10171,Sales,2010,Entry Level,45987,Fully Remote,14,1.0,0,5,Yes,0.6032931611160648,Medium Risk,9197.4
EMP-10172,Engineering,2018,Entry Level,54769,Hybrid,6,2.0,0,13,Yes,0.6292259322419413,Medium Risk,10953.800000000001
EMP-10173,HR,2021,Mid Level,89382,Fully Remote,3,4.0,1,12,No,0.06855102949629406,Low Risk,17876.4
EMP-10174,Sales,2018,Mid Level,81804,Hybrid,6,3.0,0,14,No,0.23276523888229353,Low Risk,16360.800000000001
EMP-10175,Sales,2014,Senior,132426,Hybrid,10,2.0,1,3,Yes,0.3921859722593457,Medium Risk,26485.2
EMP-10176,Sales,2012,Entry Level,48374,Hybrid,12,4.0,0,12,Yes,0.36449673308849484,Medium Risk,9674.800000000001
EMP-10177,Engineering,2021,Entry Level,45236,Hybrid,3,4.0,2,9,Yes,0.19397073255396852,Low Risk,9047.2
EMP-10178,Finance,2017,Entry Level,51549,Hybrid,7,1.0,1,1,Yes,0.4844225534160842,Medium Risk,10309.800000000001
EMP-10179,Marketing,2015,Entry Level,51257,Fully Remote,9,5.0,0,5,Yes,0.36668906896805353,Medium Risk,10251.400000000001
EMP-10180,Engineering,2010,Entry Level,49406,Hybrid,14,4.0,0,42,Yes,0.5706141195726002,Medium Risk,9881.2
EMP-10181,Marketing,2013,Mid Level,81826,Hybrid,11,1.0,0,25,No,0.4905669545492281,Medium Risk,16365.2
EMP-10182,Engineering,2016,Mid Level,87002,Never,8,1.0,0,0,No,0.6007883031081682,Medium Risk,17400.4
EMP-10183,Engineering,2018,Executive,200901,Hybrid,6,5.0,1,38,Yes,0.38696327872270736,Medium Risk,40180.200000000004
EMP-10184,Marketing,2012,Senior,127964,Hybrid,12,1.0,1,1,Yes,0.369354574786003,Medium Risk,25592.800000000003
EMP-10185,Sales,2021,Executive,197719,Hybrid,3,4.0,0,1,No,0.13393334620034947,Low Risk,39543.8
EMP-10186,Engineering,2012,Mid Level,83850,Never,12,2.0,0,0,No,0.5853088492340476,Medium Risk,16770.0
EMP-10187,Engineering,2018,Entry Level,51406,Hybrid,6,1.0,1,4,No,0.4593625446754331,Medium Risk,10281.2
EMP-10188,Sales,2010,Mid Level,84517,Fully Remote,14,4.0,0,14,No,0.23997676880956104,Low Risk,16903.4
EMP-10189,Sales,2022,Senior,134956,Hybrid,2,3.0,0,26,No,0.13642567378320694,Low Risk,26991.2
EMP-10190,Finance,2014,Entry Level,52993,Never,10,3.0,0,21,Yes,0.4229946252111212,Medium Risk,10598.6
EMP-10191,Engineering,2022,Entry Level,53656,Fully Remote,2,2.0,0,0,Yes,0.4960554788025432,Medium Risk,10731.2
EMP-10192,Engineering,2016,Mid Level,80593,Fully Remote,8,4.0,1,4,No,0.09705748874269843,Low Risk,16118.6
EMP-10193,Engineering,2014,Entry Level,45392,Hybrid,10,1.0,2,23,No,0.4060730842621437,Medium Risk,9078.4
EMP-10194,Marketing,2011,Entry Level,53906,Hybrid,13,3.0,2,9,No,0.17679939028613004,Low Risk,10781.2
EMP-10195,Engineering,2010,Mid Level,86230,Hybrid,14,5.0,0,20,No,0.2369768280580888,Low Risk,17246.0
EMP-10196,Sales,2022,Entry Level,51420,Hybrid,2,3.0,0,47,Yes,0.47203981885539087,Medium Risk,10284.0
EMP-10197,Engineering,2012,Executive,203964,Fully Remote,12,4.0,0,7,No,0.23683686706871435,Low Risk,40792.8
EMP-10198,Marketing,2021,Entry Level,54154,Never,3,1.0,2,16,Yes,0.5815598364902391,Medium Risk,10830.800000000001
EMP-10199,Engineering,2019,Mid Level,85978,Hybrid,5,2.0,0,2,No,0.5188098003193587,Medium Risk,17195.600000000002
EMP-10200,Engineering,2021,Mid Level,85784,Hybrid,3,2.0,0,39,Yes,0.577520162386134,Medium Risk,17156.8
EMP-10201,Engineering,2013,Entry Level,47160,Never,11,5.0,1,10,No,0.23847394170633635,Low Risk,9432.0
EMP-10202,Sales,2010,Senior,125301,Fully Remote,14,2.0,1,3,No,0.3403124952599649,Low Risk,25060.2
EMP-10203,Marketing,2015,Mid Level,83537,Never,9,1.0,2,0,Yes,0.40156949181638163,Medium Risk,16707.4
EMP-10204,Engineering,2012,Entry Level,46724,Fully Remote,12,4.0,1,11,No,0.19956101425763387,Low Risk,9344.800000000001
EMP-10205,Engineering,2023,Entry Level,53553,Never,1,1.0,1,2,No,0.517525119557115,Medium Risk,10710.6
EMP-10206,Marketing,2013,Mid Level,81428,Fully Remote,11,2.0,1,5,No,0.31229993864514227,Low Risk,16285.6
EMP-10207,Engineering,2022,Entry Level,48083,Hybrid,2,4.0,0,21,No,0.21698584678440422,Low Risk,9616.6
EMP-10208,Sales,2020,Executive,204596,Hybrid,4,3.0,2,6,No,0.10254316689817014,Low Risk,40919.200000000004
EMP-10209,Marketing,2015,Entry Level,46080,Never,9,5.0,0,2,Yes,0.3798549815681587,Medium Risk,9216.0
EMP-10210,Engineering,2012,Senior,125161,Hybrid,12,2.0,0,12,No,0.5538608323210241,Medium Risk,25032.2
EMP-10211,Engineering,2023,Entry Level,45867,Hybrid,1,5.0,1,60,No,0.36246547488303965,Medium Risk,9173.4
EMP-10212,Engineering,2016,Entry Level,54518,Hybrid,8,4.0,0,24,No,0.3217505652447633,Low Risk,10903.6
EMP-10213,Finance,2013,Mid Level,82171,Hybrid,11,3.0,1,70,No,0.23041953514329946,Low Risk,16434.2
EMP-10214,Engineering,2022,Mid Level,86397,Never,2,3.0,0,0,No,0.23280410482675495,Low Risk,17279.4
EMP-10215,Engineering,2012,Senior,131052,Hybrid,12,2.0,1,27,No,0.45775549298888957,Medium Risk,26210.4
EMP-10216,Engineering,2019,Senior,125685,Hybrid,5,2.0,2,22,No,0.35117780651042624,Medium Risk,25137.0
EMP-10217,Sales,2013,Mid Level,89557,Hybrid,11,3.0,0,0,No,0.2318479221510184,Low Risk,17911.4
EMP-10218,Sales,2015,Senior,130347,Hybrid,9,1.0,1,1,Yes,0.3985497744511124,Medium Risk,26069.4
