Contract_ID,Close_Date,Sales_Region,Subscription_Tier,Acquisition_Channel,Churn_Risk,Monthly_Recurring_Rev,Customer_Acquisition_Cost,Expected_Lifespan_Months,Total_Contract_Value,Customer_Lifetime_Value,LTV_to_CAC_Ratio
9006129,2022-01-03,North America,Team,Outbound Sales,High,360,3406,28,10080,8568.0,2.52
9008079,2022-01-03,EMEA,Starter,Outbound Sales,High,103,3864,10,1030,875.5,0.23
9005211,2022-01-03,North America,Enterprise,Partner Referral,Low,4569,836,58,265002,225251.69999999998,269.44
9004823,2022-01-03,North America,Team,Paid Ads,Low,426,1296,17,7242,6155.7,4.75
9005050,2022-01-03,APAC,Team,Outbound Sales,Low,400,3455,29,11600,9860.0,2.85
9007856,2022-01-03,North America,Team,Paid Ads,Low,409,1185,20,8180,6953.0,5.87
9006586,2022-01-03,North America,Professional,Partner Referral,Low,1156,963,28,32368,27512.8,28.57
9003439,2022-01-03,EMEA,Team,Outbound Sales,High,431,3241,26,11206,9525.1,2.94
9000457,2022-01-04,APAC,Starter,Inbound Organic,Medium,108,624,9,972,826.1999999999999,1.32
9005681,2022-01-04,APAC,Professional,Partner Referral,Medium,1189,845,39,46371,39415.35,46.65
9000922,2022-01-04,APAC,Starter,Outbound Sales,Low,106,4223,10,1060,901.0,0.21
9004706,2022-01-04,LATAM,Team,Paid Ads,Low,415,1398,26,10790,9171.5,6.56
9001858,2022-01-04,North America,Starter,Paid Ads,Low,92,1134,9,828,703.8,0.62
9001498,2022-01-04,North America,Professional,Outbound Sales,High,1177,4027,45,52965,45020.25,11.18
9004737,2022-01-04,North America,Team,Paid Ads,Low,431,1286,29,12499,10624.15,8.26
9003978,2022-01-04,APAC,Enterprise,Partner Referral,Low,4499,898,43,193457,164438.44999999998,183.12
9008417,2022-01-04,EMEA,Team,Paid Ads,Low,377,1424,18,6786,5768.099999999999,4.05
9007192,2022-01-04,North America,Team,Outbound Sales,Low,403,3643,21,8463,7193.55,1.97
9006378,2022-01-04,North America,Enterprise,Partner Referral,High,4522,826,50,226100,192185.0,232.67
9000212,2022-01-04,EMEA,Professional,Paid Ads,Low,1124,1173,34,38216,32483.6,27.69
9002538,2022-01-04,North America,Starter,Paid Ads,Low,89,1263,15,1335,1134.75,0.9
9003237,2022-01-04,EMEA,Starter,Outbound Sales,Low,97,3029,14,1358,1154.3,0.38
9001186,2022-01-04,EMEA,Professional,Inbound Organic,Low,1169,523,33,38577,32790.45,62.7
9008855,2022-01-04,LATAM,Professional,Inbound Organic,Medium,1176,433,36,42336,35985.6,83.11
9007910,2022-01-05,LATAM,Starter,Partner Referral,High,91,860,10,910,773.5,0.9
9000443,2022-01-05,North America,Starter,Paid Ads,Low,103,1236,10,1030,875.5,0.71
9000741,2022-01-05,North America,Team,Outbound Sales,Medium,367,3958,25,9175,7798.75,1.97
9005217,2022-01-05,North America,Professional,Outbound Sales,Low,1168,3549,42,49056,41697.6,11.75
9008643,2022-01-05,LATAM,Professional,Inbound Organic,Low,1189,466,29,34481,29308.85,62.89
9000853,2022-01-05,North America,Starter,Inbound Organic,Low,104,591,8,832,707.1999999999999,1.2
9000296,2022-01-05,North America,Starter,Inbound Organic,Low,106,534,10,1060,901.0,1.69
9009880,2022-01-05,North America,Starter,Paid Ads,Low,97,1380,11,1067,906.9499999999999,0.66
9000193,2022-01-05,EMEA,Team,Outbound Sales,High,406,2843,19,7714,6556.9,2.31
9008616,2022-01-05,EMEA,Team,Partner Referral,Low,434,713,23,9982,8484.699999999999,11.9
9005484,2022-01-05,North America,Professional,Inbound Organic,Medium,1215,490,38,46170,39244.5,80.09
9005282,2022-01-06,LATAM,Starter,Paid Ads,Low,94,1455,15,1410,1198.5,0.82
9002217,2022-01-06,LATAM,Team,Outbound Sales,Low,384,2807,22,8448,7180.8,2.56
9000079,2022-01-06,APAC,Starter,Paid Ads,Low,102,1417,12,1224,1040.3999999999999,0.73
9009340,2022-01-06,North America,Starter,Inbound Organic,Low,108,428,12,1296,1101.6,2.57
9004963,2022-01-06,APAC,Team,Inbound Organic,High,371,423,17,6307,5360.95,12.67
9004533,2022-01-06,EMEA,Team,Paid Ads,Low,436,1398,25,10900,9265.0,6.63
9007960,2022-01-06,North America,Starter,Partner Referral,Low,104,827,12,1248,1060.8,1.28
9007735,2022-01-06,APAC,Starter,Inbound Organic,Low,102,510,14,1428,1213.8,2.38
9009767,2022-01-06,North America,Professional,Inbound Organic,High,1188,411,39,46332,39382.2,95.82
9006919,2022-01-06,North America,Team,Inbound Organic,Low,422,471,25,10550,8967.5,19.04
9001988,2022-01-06,North America,Starter,Inbound Organic,Low,98,543,14,1372,1166.2,2.15
9002554,2022-01-06,EMEA,Starter,Paid Ads,Medium,92,1213,10,920,782.0,0.64
9008080,2022-01-06,EMEA,Team,Inbound Organic,Low,417,518,28,11676,9924.6,19.16
9002991,2022-01-06,APAC,Team,Inbound Organic,Low,404,544,23,9292,7898.2,14.52
9006748,2022-01-06,North America,Enterprise,Inbound Organic,Medium,4787,417,54,258498,219723.3,526.91
9009407,2022-01-06,North America,Starter,Outbound Sales,High,106,3110,10,1060,901.0,0.29
9007077,2022-01-07,EMEA,Starter,Inbound Organic,Medium,92,570,14,1288,1094.8,1.92
9003968,2022-01-07,North America,Team,Outbound Sales,High,365,4349,21,7665,6515.25,1.5
9002068,2022-01-07,LATAM,Starter,Inbound Organic,Medium,91,448,10,910,773.5,1.73
9003350,2022-01-07,North America,Enterprise,Partner Referral,Low,4535,941,48,217680,185028.0,196.63
9004170,2022-01-07,North America,Starter,Paid Ads,Low,97,977,14,1358,1154.3,1.18
9001001,2022-01-07,EMEA,Starter,Partner Referral,Low,107,779,9,963,818.55,1.05
9001137,2022-01-07,North America,Enterprise,Outbound Sales,Low,4539,3415,47,213333,181333.05,53.1
9004288,2022-01-08,APAC,Team,Inbound Organic,Low,390,511,21,8190,6961.5,13.62
9001226,2022-01-08,EMEA,Starter,Partner Referral,Low,90,749,11,990,841.5,1.12
9002124,2022-01-08,North America,Team,Outbound Sales,Low,412,4273,23,9476,8054.599999999999,1.88
9003186,2022-01-08,EMEA,Starter,Paid Ads,Low,93,1139,10,930,790.5,0.69
9006188,2022-01-08,APAC,Team,Inbound Organic,Low,368,418,29,10672,9071.199999999999,21.7
9009221,2022-01-08,LATAM,Starter,Outbound Sales,Low,99,3603,14,1386,1178.1,0.33
9001062,2022-01-08,North America,Starter,Outbound Sales,Medium,100,2940,15,1500,1275.0,0.43
9000043,2022-01-08,North America,Team,Inbound Organic,Medium,400,604,17,6800,5780.0,9.57
9007578,2022-01-08,EMEA,Starter,Outbound Sales,Low,93,4115,9,837,711.4499999999999,0.17
9003060,2022-01-08,EMEA,Team,Inbound Organic,Low,432,581,25,10800,9180.0,15.8
9006678,2022-01-08,North America,Starter,Partner Referral,Medium,98,812,10,980,833.0,1.03
9006885,2022-01-08,North America,Enterprise,Outbound Sales,Medium,4681,4325,42,196602,167111.69999999998,38.64
9006720,2022-01-08,APAC,Professional,Outbound Sales,High,1286,3162,30,38580,32793.0,10.37
9007597,2022-01-08,EMEA,Professional,Inbound Organic,Low,1298,588,46,59708,50751.799999999996,86.31
9003008,2022-01-08,North America,Starter,Outbound Sales,Low,105,3850,15,1575,1338.75,0.35
9009423,2022-01-08,North America,Enterprise,Partner Referral,Low,4810,992,33,158730,134920.5,136.01
9002822,2022-01-09,EMEA,Starter,Outbound Sales,Medium,93,4306,12,1116,948.6,0.22
9002451,2022-01-09,North America,Professional,Outbound Sales,Low,1167,3141,27,31509,26782.649999999998,8.53
9002243,2022-01-09,LATAM,Starter,Outbound Sales,Low,108,2904,9,972,826.1999999999999,0.28
9002597,2022-01-09,APAC,Team,Paid Ads,Low,416,1203,17,7072,6011.2,5.0
9008483,2022-01-09,EMEA,Starter,Partner Referral,Low,102,674,12,1224,1040.3999999999999,1.54
9006493,2022-01-09,North America,Starter,Inbound Organic,Low,99,520,9,891,757.35,1.46
9009525,2022-01-09,North America,Enterprise,Outbound Sales,Low,4304,3545,43,185072,157311.19999999998,44.38
9004248,2022-01-09,North America,Starter,Outbound Sales,Low,101,4335,12,1212,1030.2,0.24
9003476,2022-01-09,APAC,Professional,Inbound Organic,Low,1241,570,35,43435,36919.75,64.77
9001739,2022-01-09,North America,Professional,Paid Ads,Low,1173,1372,38,44574,37887.9,27.62
9005835,2022-01-09,EMEA,Team,Paid Ads,Medium,369,1295,17,6273,5332.05,4.12
9004337,2022-01-09,North America,Team,Inbound Organic,High,425,499,31,13175,11198.75,22.44
9007477,2022-01-09,North America,Starter,Outbound Sales,Low,89,2945,12,1068,907.8,0.31
9005850,2022-01-09,North America,Team,Inbound Organic,Low,401,466,18,7218,6135.3,13.17
9003728,2022-01-09,North America,Team,Inbound Organic,Low,381,471,26,9906,8420.1,17.88
9004833,2022-01-10,EMEA,Team,Inbound Organic,Low,422,429,27,11394,9684.9,22.58
9004459,2022-01-10,North America,Starter,Partner Referral,High,91,740,12,1092,928.1999999999999,1.25
9002871,2022-01-10,North America,Starter,Outbound Sales,Medium,91,3292,15,1365,1160.25,0.35
9003192,2022-01-10,EMEA,Starter,Outbound Sales,Low,97,4277,14,1358,1154.3,0.27
9003907,2022-01-10,LATAM,Starter,Outbound Sales,Low,100,3169,13,1300,1105.0,0.35
9003467,2022-01-10,EMEA,Professional,Inbound Organic,Low,1151,421,45,51795,44025.75,104.57
9005983,2022-01-10,North America,Professional,Outbound Sales,Low,1135,3233,35,39725,33766.25,10.44
9006786,2022-01-10,EMEA,Professional,Inbound Organic,Low,1208,528,30,36240,30804.0,58.34
9008968,2022-01-10,EMEA,Starter,Outbound Sales,Low,103,2884,10,1030,875.5,0.3
9007714,2022-01-11,North America,Starter,Paid Ads,Low,106,984,14,1484,1261.3999999999999,1.28
9002439,2022-01-11,EMEA,Starter,Partner Referral,Medium,94,910,11,1034,878.9,0.97
9002890,2022-01-11,APAC,Starter,Inbound Organic,Medium,96,426,15,1440,1224.0,2.87
9002511,2022-01-11,APAC,Team,Outbound Sales,Medium,403,3403,17,6851,5823.349999999999,1.71
9000734,2022-01-11,LATAM,Professional,Partner Referral,Low,1166,735,29,33814,28741.899999999998,39.1
9006944,2022-01-11,LATAM,Starter,Inbound Organic,Low,91,501,8,728,618.8,1.24
9008266,2022-01-11,LATAM,Team,Outbound Sales,Low,437,3641,27,11799,10029.15,2.75
9001636,2022-01-11,EMEA,Team,Outbound Sales,Medium,425,4347,21,8925,7586.25,1.75
9003927,2022-01-11,EMEA,Starter,Inbound Organic,Medium,103,603,14,1442,1225.7,2.03
9000531,2022-01-11,North America,Professional,Inbound Organic,Low,1170,426,34,39780,33813.0,79.37
9002163,2022-01-11,EMEA,Starter,Inbound Organic,Low,91,431,14,1274,1082.8999999999999,2.51
9009814,2022-01-11,North America,Starter,Inbound Organic,Low,99,411,15,1485,1262.25,3.07
9008377,2022-01-11,North America,Starter,Inbound Organic,Low,108,599,11,1188,1009.8,1.69
9005956,2022-01-11,North America,Professional,Outbound Sales,Medium,1293,3154,39,50427,42862.95,13.59
9007941,2022-01-11,EMEA,Professional,Partner Referral,Medium,1173,854,27,31671,26920.35,31.52
9006843,2022-01-11,North America,Team,Inbound Organic,Low,375,593,26,9750,8287.5,13.98
9004628,2022-01-12,North America,Starter,Paid Ads,Low,95,1156,9,855,726.75,0.63
9009341,2022-01-12,APAC,Team,Outbound Sales,High,392,3237,26,10192,8663.199999999999,2.68
9007555,2022-01-12,LATAM,Professional,Inbound Organic,Low,1132,561,27,30564,25979.399999999998,46.31
9006264,2022-01-12,APAC,Professional,Inbound Organic,Low,1316,432,27,35532,30202.2,69.91
9008037,2022-01-12,North America,Team,Inbound Organic,Low,428,425,20,8560,7276.0,17.12
9001105,2022-01-12,APAC,Starter,Inbound Organic,Medium,90,458,14,1260,1071.0,2.34
9000125,2022-01-12,EMEA,Team,Inbound Organic,Low,392,468,18,7056,5997.599999999999,12.82
9007804,2022-01-12,North America,Starter,Inbound Organic,Low,96,570,9,864,734.4,1.29
9003561,2022-01-12,North America,Starter,Outbound Sales,Medium,95,3258,12,1140,969.0,0.3
9002996,2022-01-12,EMEA,Starter,Paid Ads,Medium,93,1273,13,1209,1027.6499999999999,0.81
9000398,2022-01-12,APAC,Starter,Inbound Organic,Medium,101,470,14,1414,1201.8999999999999,2.56
9004120,2022-01-12,APAC,Team,Inbound Organic,Low,383,520,22,8426,7162.099999999999,13.77
9001733,2022-01-12,EMEA,Starter,Paid Ads,Low,94,1411,14,1316,1118.6,0.79
9004207,2022-01-13,EMEA,Team,Partner Referral,Low,369,782,28,10332,8782.199999999999,11.23
9000302,2022-01-13,APAC,Professional,Paid Ads,Low,1311,1035,45,58995,50145.75,48.45
9009692,2022-01-13,EMEA,Professional,Outbound Sales,Medium,1318,3352,40,52720,44812.0,13.37
9002343,2022-01-13,North America,Professional,Paid Ads,Low,1277,1435,43,54911,46674.35,32.53
9000374,2022-01-13,APAC,Starter,Paid Ads,Medium,107,1307,14,1498,1273.3,0.97
9007999,2022-01-13,North America,Team,Inbound Organic,Low,402,471,27,10854,9225.9,19.59
9009004,2022-01-13,EMEA,Professional,Outbound Sales,High,1300,3917,42,54600,46410.0,11.85
9006249,2022-01-13,North America,Starter,Outbound Sales,Low,98,3589,9,882,749.6999999999999,0.21
9003349,2022-01-13,APAC,Enterprise,Partner Referral,Medium,4896,940,45,220320,187272.0,199.23
9003199,2022-01-13,LATAM,Professional,Inbound Organic,Low,1102,499,44,48488,41214.799999999996,82.59
9007258,2022-01-13,North America,Team,Paid Ads,Low,392,1342,20,7840,6664.0,4.97
9003950,2022-01-14,EMEA,Team,Paid Ads,Low,396,1219,29,11484,9761.4,8.01
9004724,2022-01-14,North America,Enterprise,Partner Referral,Low,4151,713,39,161889,137605.65,193.0
9009250,2022-01-14,EMEA,Enterprise,Inbound Organic,Low,4281,459,47,201207,171025.94999999998,372.61
9005114,2022-01-14,North America,Enterprise,Outbound Sales,Low,4585,3498,41,187985,159787.25,45.68
9009839,2022-01-14,North America,Professional,Inbound Organic,Low,1250,519,41,51250,43562.5,83.94
9000666,2022-01-14,EMEA,Starter,Partner Referral,Low,95,694,12,1140,969.0,1.4
9005671,2022-01-14,EMEA,Starter,Partner Referral,Medium,107,980,13,1391,1182.35,1.21
9006289,2022-01-14,North America,Team,Inbound Organic,Medium,404,524,18,7272,6181.2,11.8
9009540,2022-01-14,LATAM,Team,Paid Ads,Low,408,1010,22,8976,7629.599999999999,7.55
9007413,2022-01-14,North America,Professional,Inbound Organic,Low,1175,451,27,31725,26966.25,59.79
9004136,2022-01-14,LATAM,Team,Outbound Sales,Low,367,2903,17,6239,5303.15,1.83
9007217,2022-01-14,EMEA,Professional,Paid Ads,Low,1300,1154,46,59800,50830.0,44.05
9003144,2022-01-15,North America,Enterprise,Outbound Sales,Low,4543,3513,44,199892,169908.19999999998,48.37
9008305,2022-01-15,EMEA,Team,Inbound Organic,Low,374,537,16,5984,5086.4,9.47
9001806,2022-01-15,North America,Team,Outbound Sales,Low,390,3184,21,8190,6961.5,2.19
9002061,2022-01-15,North America,Team,Paid Ads,Medium,399,1146,19,7581,6443.849999999999,5.62
9007215,2022-01-15,LATAM,Starter,Partner Referral,Low,93,703,9,837,711.4499999999999,1.01
9008690,2022-01-15,EMEA,Team,Inbound Organic,Low,378,620,23,8694,7389.9,11.92
9002186,2022-01-15,LATAM,Team,Inbound Organic,Medium,405,524,27,10935,9294.75,17.74
9003999,2022-01-15,EMEA,Starter,Inbound Organic,Low,92,404,13,1196,1016.6,2.52
9007487,2022-01-15,North America,Professional,Inbound Organic,Low,1311,617,39,51129,43459.65,70.44
9005625,2022-01-15,North America,Starter,Paid Ads,Medium,99,1120,15,1485,1262.25,1.13
9001171,2022-01-15,North America,Starter,Inbound Organic,Low,107,545,11,1177,1000.4499999999999,1.84
9004171,2022-01-15,North America,Professional,Outbound Sales,Low,1318,4342,43,56674,48172.9,11.09
9003963,2022-01-15,North America,Starter,Paid Ads,Low,100,1297,8,800,680.0,0.52
9001466,2022-01-15,North America,Team,Paid Ads,Low,384,1320,27,10368,8812.8,6.68
9006834,2022-01-15,APAC,Team,Partner Referral,Low,428,838,17,7276,6184.599999999999,7.38
9008089,2022-01-16,LATAM,Professional,Outbound Sales,Low,1232,4290,28,34496,29321.6,6.83
9002387,2022-01-16,LATAM,Team,Outbound Sales,Low,431,3917,22,9482,8059.7,2.06
9005510,2022-01-16,EMEA,Team,Outbound Sales,Low,428,3638,21,8988,7639.8,2.1
9000914,2022-01-16,North America,Professional,Paid Ads,Low,1198,1383,38,45524,38695.4,27.98
9001303,2022-01-16,North America,Professional,Outbound Sales,Low,1146,4365,41,46986,39938.1,9.15
9004326,2022-01-16,North America,Professional,Partner Referral,Low,1272,675,32,40704,34598.4,51.26
9009532,2022-01-16,North America,Starter,Inbound Organic,Low,106,613,9,954,810.9,1.32
9009013,2022-01-16,EMEA,Team,Inbound Organic,Medium,415,497,21,8715,7407.75,14.9
9006225,2022-01-16,North America,Starter,Inbound Organic,Low,105,408,14,1470,1249.5,3.06
9000912,2022-01-16,EMEA,Team,Partner Referral,Low,405,969,17,6885,5852.25,6.04
9007017,2022-01-16,EMEA,Professional,Outbound Sales,Low,1171,3992,39,45669,38818.65,9.72
9000289,2022-01-16,EMEA,Professional,Partner Referral,Low,1156,763,26,30056,25547.6,33.48
9007308,2022-01-16,North America,Team,Inbound Organic,High,368,474,24,8832,7507.2,15.84
9004791,2022-01-16,North America,Starter,Outbound Sales,Medium,106,3813,8,848,720.8,0.19
9009303,2022-01-16,APAC,Professional,Inbound Organic,Low,1234,506,42,51828,44053.799999999996,87.06
9006073,2022-01-16,EMEA,Team,Inbound Organic,Medium,436,474,20,8720,7412.0,15.64
9000800,2022-01-17,LATAM,Starter,Outbound Sales,Low,103,4016,12,1236,1050.6,0.26
9005277,2022-01-17,North America,Professional,Inbound Organic,Low,1310,469,34,44540,37859.0,80.72
9006544,2022-01-17,North America,Starter,Outbound Sales,Low,89,3605,9,801,680.85,0.19
9005176,2022-01-17,North America,Professional,Inbound Organic,Low,1112,594,44,48928,41588.799999999996,70.01
9001307,2022-01-17,North America,Professional,Paid Ads,Low,1169,1351,28,32732,27822.2,20.59
9001412,2022-01-17,North America,Professional,Outbound Sales,High,1125,3216,44,49500,42075.0,13.08
9007815,2022-01-17,North America,Enterprise,Inbound Organic,Low,4706,578,37,174122,148003.69999999998,256.06
9004606,2022-01-17,North America,Starter,Outbound Sales,Low,90,3168,13,1170,994.5,0.31
9006739,2022-01-17,EMEA,Team,Inbound Organic,Low,368,530,17,6256,5317.599999999999,10.03
9005853,2022-01-18,EMEA,Professional,Inbound Organic,Low,1113,453,41,45633,38788.049999999996,85.62
9007660,2022-01-18,EMEA,Team,Outbound Sales,Medium,409,3101,21,8589,7300.65,2.35
9000613,2022-01-18,North America,Professional,Inbound Organic,Medium,1237,562,39,48243,41006.549999999996,72.97
9006947,2022-01-18,North America,Starter,Partner Referral,High,97,916,9,873,742.05,0.81
9002115,2022-01-18,LATAM,Team,Outbound Sales,Low,366,4118,18,6588,5599.8,1.36
9002372,2022-01-18,EMEA,Professional,Partner Referral,Low,1276,892,33,42108,35791.799999999996,40.13
9006742,2022-01-18,North America,Team,Inbound Organic,Low,430,540,27,11610,9868.5,18.27
9005008,2022-01-18,North America,Team,Paid Ads,Low,423,1277,26,10998,9348.3,7.32
9002989,2022-01-18,LATAM,Starter,Inbound Organic,Medium,108,521,13,1404,1193.3999999999999,2.29
9003487,2022-01-18,APAC,Starter,Inbound Organic,Low,96,556,14,1344,1142.3999999999999,2.05
9001148,2022-01-18,APAC,Team,Inbound Organic,Low,423,451,27,11421,9707.85,21.53
9008422,2022-01-19,EMEA,Enterprise,Partner Referral,Low,4347,856,62,269514,229086.9,267.62
9000425,2022-01-19,North America,Team,Inbound Organic,High,363,503,27,9801,8330.85,16.56
9000556,2022-01-19,EMEA,Professional,Inbound Organic,Low,1253,538,37,46361,39406.85,73.25
9004312,2022-01-19,North America,Team,Partner Referral,Low,430,989,25,10750,9137.5,9.24
9004762,2022-01-19,EMEA,Team,Inbound Organic,Medium,401,480,19,7619,6476.15,13.49
9001464,2022-01-19,EMEA,Team,Outbound Sales,Low,395,4168,27,10665,9065.25,2.17
9008594,2022-01-19,North America,Starter,Outbound Sales,Low,90,3064,9,810,688.5,0.22
9001375,2022-01-19,LATAM,Enterprise,Inbound Organic,Low,4213,546,50,210650,179052.5,327.93
9009384,2022-01-19,EMEA,Team,Partner Referral,Low,368,808,18,6624,5630.4,6.97
9000619,2022-01-19,EMEA,Team,Inbound Organic,Low,385,525,30,11550,9817.5,18.7
9008721,2022-01-19,EMEA,Professional,Outbound Sales,Low,1135,3101,41,46535,39554.75,12.76
9008699,2022-01-19,North America,Starter,Paid Ads,Low,102,1439,13,1326,1127.1,0.78
9007528,2022-01-19,North America,Professional,Partner Referral,Low,1193,981,44,52492,44618.2,45.48
9003698,2022-01-19,North America,Starter,Inbound Organic,Low,106,434,14,1484,1261.3999999999999,2.91
9009191,2022-01-19,North America,Enterprise,Outbound Sales,Low,4322,4157,46,198812,168990.19999999998,40.65
9009073,2022-01-19,North America,Team,Partner Referral,Low,399,881,30,11970,10174.5,11.55
9001607,2022-01-19,EMEA,Starter,Paid Ads,Low,92,1328,9,828,703.8,0.53
9000987,2022-01-19,LATAM,Team,Inbound Organic,Low,376,401,30,11280,9588.0,23.91
9009102,2022-01-19,APAC,Starter,Outbound Sales,High,90,4310,12,1080,918.0,0.21
9000657,2022-01-19,APAC,Starter,Outbound Sales,Low,91,3487,9,819,696.15,0.2
9003200,2022-01-19,North America,Professional,Partner Referral,Low,1168,926,26,30368,25812.8,27.88
9006154,2022-01-19,EMEA,Enterprise,Outbound Sales,Medium,4078,4303,49,199822,169848.69999999998,39.47
9004254,2022-01-20,LATAM,Team,Outbound Sales,Low,362,3568,24,8688,7384.8,2.07
9006840,2022-01-20,EMEA,Professional,Outbound Sales,Low,1161,3294,32,37152,31579.2,9.59
9003173,2022-01-20,North America,Team,Inbound Organic,Low,430,600,22,9460,8041.0,13.4
9006555,2022-01-20,APAC,Team,Outbound Sales,Low,367,3382,23,8441,7174.849999999999,2.12
9007330,2022-01-20,North America,Team,Partner Referral,Medium,396,844,19,7524,6395.4,7.58
9008386,2022-01-20,North America,Starter,Outbound Sales,High,107,3612,10,1070,909.5,0.25
9003308,2022-01-20,North America,Team,Outbound Sales,Low,433,4179,22,9526,8097.099999999999,1.94
9008600,2022-01-20,EMEA,Team,Inbound Organic,Low,424,569,24,10176,8649.6,15.2
9001314,2022-01-20,APAC,Starter,Inbound Organic,Low,104,600,11,1144,972.4,1.62
9003409,2022-01-20,EMEA,Professional,Outbound Sales,Low,1205,4121,25,30125,25606.25,6.21
9009503,2022-01-20,LATAM,Starter,Partner Referral,Low,95,748,13,1235,1049.75,1.4
9002230,2022-01-20,North America,Enterprise,Inbound Organic,Low,4842,557,41,198522,168743.69999999998,302.95
9003474,2022-01-20,APAC,Professional,Outbound Sales,Medium,1250,3909,34,42500,36125.0,9.24
9002686,2022-01-20,EMEA,Team,Outbound Sales,Low,411,3898,24,9864,8384.4,2.15
9007003,2022-01-20,North America,Enterprise,Inbound Organic,Medium,4376,410,43,188168,159942.8,390.1
9001124,2022-01-21,North America,Professional,Outbound Sales,Medium,1275,4083,26,33150,28177.5,6.9
9003210,2022-01-21,North America,Starter,Partner Referral,Low,94,713,15,1410,1198.5,1.68
9005870,2022-01-21,North America,Professional,Outbound Sales,Medium,1178,3753,33,38874,33042.9,8.8
9009667,2022-01-21,North America,Professional,Outbound Sales,Medium,1132,3680,29,32828,27903.8,7.58
9000658,2022-01-21,EMEA,Professional,Outbound Sales,Low,1145,3397,36,41220,35037.0,10.31
9000394,2022-01-21,North America,Professional,Outbound Sales,Medium,1252,4143,40,50080,42568.0,10.27
9000644,2022-01-21,EMEA,Team,Paid Ads,Low,383,1464,18,6894,5859.9,4.0
9007581,2022-01-21,North America,Starter,Outbound Sales,Medium,89,2823,15,1335,1134.75,0.4
9005207,2022-01-21,North America,Professional,Outbound Sales,Low,1141,2986,27,30807,26185.95,8.77
9004104,2022-01-21,North America,Team,Inbound Organic,Medium,406,456,28,11368,9662.8,21.19
9003925,2022-01-21,North America,Starter,Outbound Sales,Low,90,2887,13,1170,994.5,0.34
9002921,2022-01-21,North America,Team,Partner Referral,Low,434,669,27,11718,9960.3,14.89
9003074,2022-01-21,North America,Enterprise,Outbound Sales,High,4380,3124,61,267180,227103.0,72.7
